,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-12-16,19.8221435546875,20.09428596496582,19.821786880493164,19.91071319580078,17.40969467163086,282592800
1,2013-12-17,19.850357055664062,19.979999542236328,19.76357078552246,19.82107162475586,17.331314086914062,229902400
2,2013-12-18,19.632143020629883,19.694643020629883,19.242856979370117,19.67035675048828,17.199527740478516,565863200
3,2013-12-19,19.625,19.64285659790039,19.418928146362305,19.44499969482422,17.002483367919922,320308800
4,2013-12-20,19.479642868041992,19.70035743713379,19.457857131958008,19.60785675048828,17.144880294799805,436413600
5,2013-12-23,20.28571319580078,20.382856369018555,20.09857177734375,20.3603572845459,17.802860260009766,501306400
6,2013-12-24,20.353214263916016,20.424285888671875,20.215356826782227,20.273929595947266,17.727279663085938,167554800
7,2013-12-26,20.28928565979004,20.33928680419922,20.12071418762207,20.139286041259766,17.609554290771484,204008000
8,2013-12-27,20.136428833007812,20.157499313354492,19.98214340209961,20.00321388244629,17.490581512451172,225884400
9,2013-12-30,19.909286499023438,20.00321388244629,19.7257137298584,19.804285049438477,17.316631317138672,253629600
10,2013-12-31,19.791786193847656,20.045713424682617,19.78571319580078,20.036428451538086,17.519624710083008,223084400
11,2014-01-02,19.845714569091797,19.89392852783203,19.71500015258789,19.754642486572266,17.27322769165039,234684800
12,2014-01-03,19.7450008392334,19.774999618530273,19.301071166992188,19.320714950561523,16.893810272216797,392467600
13,2014-01-06,19.194643020629883,19.5285701751709,19.05714225769043,19.426071166992188,16.985923767089844,412610800
14,2014-01-07,19.440000534057617,19.498571395874023,19.211429595947266,19.28714370727539,16.864450454711914,317209200
15,2014-01-08,19.243213653564453,19.484285354614258,19.238929748535156,19.409286499023438,16.971254348754883,258529600
16,2014-01-09,19.5285701751709,19.53071403503418,19.11964225769043,19.161428451538086,16.754528045654297,279148800
17,2014-01-10,19.27964210510254,19.314285278320312,18.96821403503418,19.033571243286133,16.642730712890625,304976000
18,2014-01-13,18.925357818603516,19.375,18.924285888671875,19.133214950561523,16.729856491088867,378492800
19,2014-01-14,19.222143173217773,19.526071548461914,19.2021427154541,19.51392936706543,17.06275749206543,332561600
20,2014-01-15,19.768571853637695,20.007143020629883,19.7021427154541,19.90571403503418,17.40532875061035,391638800
21,2014-01-16,19.81785774230957,19.887500762939453,19.702856063842773,19.79464340209961,17.308198928833008,229278000
22,2014-01-17,19.695714950561523,19.716785430908203,19.282142639160156,19.309642791748047,16.884132385253906,426739600
23,2014-01-21,19.32107162475586,19.645357131958008,19.30071449279785,19.609643936157227,17.14644432067871,328526800
24,2014-01-22,19.675357818603516,19.903213500976562,19.56464385986328,19.696786880493164,17.222637176513672,379985200
25,2014-01-23,19.640714645385742,19.875,19.457500457763672,19.863571166992188,17.368473052978516,403239200
26,2014-01-24,19.78571319580078,19.843570709228516,19.45535659790039,19.502500534057617,17.052757263183594,429354800
27,2014-01-27,19.645357131958008,19.814285278320312,19.491071701049805,19.66071319580078,17.19109535217285,554878800
28,2014-01-28,18.170000076293945,18.39285659790039,17.93107032775879,18.08928680419922,15.817061424255371,1065523200
29,2014-01-29,17.998214721679688,18.120357513427734,17.807857513427734,17.883928298950195,15.63749885559082,502810000
30,2014-01-30,17.947856903076172,18.08928680419922,17.739286422729492,17.849285125732422,15.607206344604492,678501600
31,2014-01-31,17.684999465942383,17.911785125732422,17.626785278320312,17.878570556640625,15.632811546325684,464797200
